message_id,true_action,rule_action,rule_confidence,xgb_action,xgb_action_confidence,hybrid_action,true_type,rule_type,xgb_type,xgb_type_confidence
sample_msg_001,notify,notify,0.9,digest,0.7523,notify,urgent,urgent,personal,0.6266
sample_msg_002,notify,notify,0.85,notify,0.7343,notify,event,event,event,0.6237
sample_msg_003,notify,notify,0.9,notify,0.8896,notify,urgent,urgent,personal,0.5236
sample_msg_004,notify,notify,0.85,notify,0.8898,notify,business_update,business_update,business_update,0.5336
sample_msg_005,notify,notify,0.85,notify,0.809,notify,event,event,event,0.7519
sample_msg_006,notify,notify,0.9,digest,0.6848,notify,personal,personal,personal,0.8426
sample_msg_007,digest,digest,0.75,digest,0.9213,digest,promotion,promotion,promotion,0.9446
sample_msg_008,digest,digest,0.75,digest,0.7377,digest,event,event,personal,0.8414
sample_msg_009,digest,digest,0.7,digest,0.5678,digest,greeting,greeting,personal,0.7783
sample_msg_010,digest,digest,0.75,digest,0.6485,digest,personal,personal,personal,0.802
sample_msg_011,digest,digest,0.75,digest,0.7272,digest,business_update,business_update,business_update,0.4031
sample_msg_012,digest,digest,0.75,digest,0.7907,digest,promotion,promotion,personal,0.6895
sample_msg_013,mute,mute,0.8,mute,0.4844,mute,greeting,greeting,forward,0.6773
sample_msg_014,mute,mute,0.85,digest,0.5735,mute,forward,forward,personal,0.7055
sample_msg_015,mute,mute,0.9,mute,0.9869,mute,promotion,promotion,promotion,0.9886
sample_msg_019,mute,mute,0.99,digest,0.962,mute,scam,scam,personal,0.9773
sample_msg_020,mute,mute,0.99,mute,0.5982,mute,scam,scam,personal,0.6467
sample_msg_041,digest,digest,0.75,digest,0.9882,digest,personal,personal,personal,0.9826
sample_msg_042,notify,digest,0.75,digest,0.9743,digest,urgent,personal,personal,0.9858
sample_msg_043,mute,mute,0.9,mute,0.92,mute,spam,spam,spam,0.7937
sample_msg_044,digest,digest,0.75,notify,0.7039,digest,promotion,promotion,promotion,0.4431
sample_msg_045,mute,mute,0.85,digest,0.5128,mute,promotion,promotion,event,0.4753
sample_msg_046,notify,notify,0.85,notify,0.8049,notify,event,event,event,0.8402
sample_msg_047,mute,mute,0.8,mute,0.7612,mute,promotion,promotion,promotion,0.9661
sample_msg_048,digest,digest,0.75,digest,0.6729,digest,business_update,business_update,personal,0.4105
sample_msg_049,digest,digest,0.65,digest,0.6447,digest,unknown,unknown,personal,0.7498
sample_msg_050,digest,digest,0.75,digest,0.9454,digest,personal,personal,personal,0.9502
sample_msg_051,notify,notify,0.9,digest,0.7983,notify,urgent,urgent,personal,0.8606
sample_msg_052,mute,mute,0.99,mute,0.5452,mute,scam,scam,scam,0.6159
sample_msg_053,mute,mute,0.99,mute,0.6589,mute,scam,scam,personal,0.5343
