sdv_primary_key,media_type,has_media,text_len,timestamp_hour,timestamp_minute,asks_for_reply,deadline,has_direct_mention,is_greeting,opt_out,otp,payment,promotional,suspicious_link,is_forwarded,has_url,n_mentions,chat_type,is_group,recent_messages_count,group_muted_by_user,membership_role,membership_messages_read_30d,membership_messages_sent_30d,membership_replies_sent_30d,membership_notifications_dismissed_30d,group_member_count,group_admin_count,group_messages_30d,group_type,sender_is_business,sender_is_verified,sender_type,sender_messages_opened_30d,sender_messages_replied_30d,sender_messages_reported_30d,sender_notifications_dismissed_30d,user_messages_opened_30d,user_messages_replied_30d,user_messages_reported_30d,user_notifications_dismissed_30d,has_quiet_hours,is_in_quiet_hours,is_business,business_is_verified,business_account_age_days,business_domain_age_days,business_messages_sent_30d,business_user_reports_30d,business_category,domain_matches_official,purchase_history_count,rel_activity_count_180d,rel_messages_opened_30d,rel_messages_dismissed_30d,rel_messages_replied_30d,rel_allows_promotions,rel_opted_out,subscription,hist_message_opened,hist_message_replied,hist_message_reported,hist_muted_after_message,hist_notification_dismissed,similar_messages_count,priority,confidence,action,message_type,message_id
0,none,False,128,18,7,True,True,False,False,False,True,False,False,False,False,False,0,personal,False,3,False,none,0,0,0,0,0,0,0,none,False,False,personal,61,12,3,46,42,5,1,45,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,6,5,4,4,4,5,-50.0,0.99,mute,scam,msg_091
1,none,False,122,8,2,False,False,True,False,False,False,False,False,False,True,False,1,group,True,3,True,member,1,1,0,9,14,2,92,family,False,False,group,75,18,2,56,44,6,2,68,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,3,1,0,19,19,5,3.0,0.9,mute,spam,msg_040
2,image,True,193,16,33,True,True,False,False,False,False,False,False,False,False,False,0,group,True,10,False,member,1,0,0,3,241,1,963,marketplace,False,False,group,54,9,1,41,70,17,4,13,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,11,6,1,3,3,5,5.0,0.9,notify,urgent,msg_005
3,none,False,158,12,26,True,True,False,False,False,False,False,False,False,False,False,0,personal,False,2,False,none,0,0,0,0,0,0,0,none,False,False,personal,54,9,1,41,21,3,3,77,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,0,0,1,10,10,5,5.0,0.9,notify,urgent,msg_104
4,none,False,184,19,44,False,False,False,False,False,True,False,False,False,True,False,0,personal,False,4,False,none,0,0,0,0,0,0,0,none,False,False,personal,68,15,0,51,118,41,0,12,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,19,2,0,3,3,5,-3.0,0.85,mute,forward,msg_107
5,none,False,138,6,2,True,False,False,False,False,True,False,False,False,False,False,0,group,True,13,False,member,8,8,1,2,241,1,963,marketplace,False,False,group,68,15,0,51,118,41,0,12,True,True,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,19,2,0,3,3,5,-50.0,0.99,mute,scam,msg_070
6,none,False,194,12,19,False,False,False,False,False,False,False,False,False,False,False,0,business,False,5,False,none,0,0,0,0,0,0,0,none,True,True,business,0,0,0,0,44,7,0,59,True,False,True,True,937,729,1243,3,ecommerce_delivery,True,4,4,5,0,0,0,False,delivery_expected_today,19,16,0,1,1,5,3.0,0.85,notify,business_update,msg_003
7,none,False,136,19,56,False,False,False,False,False,False,False,False,False,False,False,0,personal,False,5,False,none,0,0,0,0,0,0,0,none,False,False,personal,40,31,2,31,66,17,3,29,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,13,9,2,2,2,5,-4.0,0.75,digest,personal,msg_099
8,none,False,181,6,51,True,False,False,False,False,False,False,False,False,False,False,0,business,False,3,False,none,0,0,0,0,0,0,0,none,True,True,business,0,0,0,0,50,9,0,57,True,True,True,True,4267,3339,5113,3,healthcare_product,True,3,3,4,0,1,1,False,recent_product_purchase,4,1,0,1,1,5,3.0,0.75,digest,personal,msg_008
9,none,False,184,20,13,False,False,False,False,False,False,True,False,False,False,False,0,business,False,0,False,none,0,0,0,0,0,0,0,none,True,True,business,0,0,0,0,98,29,2,33,True,False,True,True,3712,2904,4468,6,credit_card,True,0,0,0,0,0,none,False,none,4,3,1,1,1,4,2.0,0.88,notify,payment,msg_092
