sdv_primary_key,media_type,has_media,text_len,timestamp_hour,timestamp_minute,asks_for_reply,deadline,has_direct_mention,is_greeting,opt_out,otp,payment,promotional,suspicious_link,is_forwarded,has_url,n_mentions,chat_type,is_group,recent_messages_count,group_muted_by_user,membership_role,membership_messages_read_30d,membership_messages_sent_30d,membership_replies_sent_30d,membership_notifications_dismissed_30d,group_member_count,group_admin_count,group_messages_30d,group_type,sender_is_business,sender_is_verified,sender_type,sender_messages_opened_30d,sender_messages_replied_30d,sender_messages_reported_30d,sender_notifications_dismissed_30d,user_messages_opened_30d,user_messages_replied_30d,user_messages_reported_30d,user_notifications_dismissed_30d,has_quiet_hours,is_in_quiet_hours,is_business,business_is_verified,business_account_age_days,business_domain_age_days,business_messages_sent_30d,business_user_reports_30d,business_category,domain_matches_official,purchase_history_count,rel_activity_count_180d,rel_messages_opened_30d,rel_messages_dismissed_30d,rel_messages_replied_30d,rel_allows_promotions,rel_opted_out,subscription,hist_message_opened,hist_message_replied,hist_message_reported,hist_muted_after_message,hist_notification_dismissed,similar_messages_count,priority,confidence,action,message_type,message_id
0,image,True,102,21,47,False,False,False,False,False,False,False,False,False,False,False,0,group,True,12,False,member,7,6,3,7,126,3,535,school_group,False,False,group,97,29,4,52,43,10,3,35,True,False,False,False,0,0,0,1,none,False,0,0,1,0,1,none,False,none,8,0,8,9,9,5,-15,0.75,digest,personal,synthetic
1,none,False,214,19,52,True,False,False,False,True,False,False,False,False,False,False,0,group,False,7,False,none,2,0,2,0,0,0,0,none,False,False,group,41,29,2,7,77,37,1,37,True,False,False,True,586,448,1140,44,none,False,4,4,7,5,2,none,True,none,19,20,1,2,2,5,8,0.75,notify,payment,synthetic
2,none,False,79,7,49,False,False,False,False,False,False,False,False,False,False,False,0,group,True,11,False,admin,19,18,10,1,192,3,735,society,False,False,group,97,26,1,55,99,41,3,14,True,False,False,False,0,0,0,1,none,False,0,0,3,0,1,none,False,none,23,23,6,14,14,5,-10,0.75,digest,personal,synthetic
3,none,False,155,21,6,False,False,False,False,False,False,False,True,False,True,False,0,group,False,5,False,none,1,0,0,0,0,0,0,none,True,True,group,9,5,0,1,51,15,1,47,True,False,True,False,4437,3471,5232,55,bank,True,2,2,8,0,2,none,False,none,6,18,9,3,3,5,1,0.81,notify,urgent,synthetic
4,none,False,207,12,44,False,False,False,False,True,False,True,True,False,False,False,0,business,False,0,False,member,15,12,8,0,5,1,54,society,False,False,business,27,12,0,4,99,34,1,24,True,False,False,True,1675,1285,2162,50,healthcare,False,0,0,7,0,2,none,True,none,9,5,1,2,2,5,-9,0.75,mute,promotion,synthetic
5,none,False,230,18,47,False,False,False,False,False,False,True,False,False,True,False,0,group,False,19,False,member,5,5,8,8,153,1,652,none,True,False,business,46,12,0,8,109,38,1,15,True,False,True,False,4,2,71,53,bank,False,0,0,5,0,2,0,False,none,20,16,4,1,1,5,-37,0.75,mute,payment,synthetic
6,none,False,177,22,42,False,False,False,False,False,False,False,False,False,False,False,0,group,False,19,False,admin,5,1,3,5,73,0,437,none,False,False,group,13,18,1,14,118,30,0,13,True,False,True,False,71,65,578,39,none,False,0,0,7,0,2,0,False,none,16,7,3,2,2,5,-2,0.75,mute,forward,synthetic
7,none,True,205,7,56,False,False,False,False,False,False,False,False,False,False,False,0,group,True,17,False,admin,15,15,7,0,173,3,728,society,False,False,group,95,30,4,54,64,10,1,29,True,False,False,False,0,0,0,0,none,False,0,0,3,0,1,none,True,none,22,20,2,5,5,5,10,0.77,digest,personal,synthetic
8,none,False,70,13,50,False,False,False,False,False,False,False,False,False,False,False,0,personal,False,12,False,member,10,12,7,9,240,3,959,society,False,False,group,97,30,4,57,59,7,3,18,True,False,False,False,0,0,0,0,none,False,0,0,0,0,0,none,False,none,7,14,1,1,1,0,2,0.75,notify,event,synthetic
9,none,False,147,12,42,True,False,False,False,False,False,True,False,False,False,False,0,group,True,16,False,admin,13,15,8,6,194,4,767,school_group,False,False,group,89,28,4,45,30,14,3,46,True,False,True,False,0,0,0,14,ecommerce_delivery,False,0,0,3,0,1,none,False,none,17,8,3,0,0,5,6,0.76,notify,event,synthetic
10,none,False,205,14,3,False,True,False,False,False,False,False,True,False,False,False,0,business,True,1,False,admin,14,17,5,9,234,3,927,none,False,True,group,66,21,4,28,113,30,0,27,True,False,False,False,0,0,0,18,none,False,0,0,6,0,2,none,False,none,5,9,0,1,1,5,-6,0.77,digest,personal,synthetic
11,voice,False,101,22,13,False,False,False,False,False,False,False,True,False,False,False,0,group,True,0,False,none,2,1,0,8,6,1,80,marketplace,False,False,group,65,23,3,39,28,4,2,63,True,False,False,False,0,0,0,13,ecommerce_delivery,True,0,0,1,0,0,none,False,food_promotions_opted_out,1,1,2,1,1,0,-23,0.89,mute,payment,synthetic
12,none,False,171,14,3,False,False,False,False,False,False,False,False,False,True,False,0,group,True,18,False,member,10,8,5,8,203,3,808,marketplace,False,False,business,75,25,2,33,106,37,2,13,True,False,False,False,0,0,0,6,none,False,0,0,6,0,2,none,False,none,18,20,0,0,0,5,2,0.75,notify,event,synthetic
13,none,False,114,18,55,False,False,False,False,True,False,True,False,False,False,False,0,group,False,1,False,none,1,0,1,0,0,0,4,none,True,False,group,12,7,1,16,59,6,1,34,True,False,False,True,85,66,482,49,healthcare,False,0,0,6,1,1,none,False,none,1,0,7,17,17,5,-1,0.78,digest,promotion,synthetic
14,voice,False,113,20,42,False,False,False,False,False,False,True,False,False,False,False,0,group,False,15,False,none,2,0,0,0,0,0,14,none,False,True,group,25,18,3,13,73,6,2,24,True,False,False,False,0,0,1,36,healthcare,False,0,0,4,0,1,none,False,none,4,1,1,3,3,3,-2,0.79,notify,urgent,synthetic
15,none,False,197,14,23,True,False,False,False,True,False,False,True,False,False,False,0,business,False,7,False,admin,6,2,5,0,3,1,44,none,True,True,group,12,12,1,0,45,12,2,71,True,False,False,True,4445,3479,5282,46,ecommerce,True,7,7,8,6,2,0,True,old_sale_subscription,4,4,3,18,18,5,-20,0.75,notify,event,synthetic
16,none,True,136,20,47,False,True,False,False,False,False,True,False,False,False,False,0,group,False,4,True,admin,4,7,6,4,149,2,664,marketplace,True,False,group,82,27,3,36,34,13,2,19,True,False,False,False,0,0,0,2,none,False,0,0,1,0,1,none,False,none,17,17,8,13,13,5,3,0.96,digest,personal,synthetic
17,none,False,196,22,55,False,False,False,False,False,True,False,False,False,False,False,0,business,True,15,True,admin,20,17,4,9,241,3,960,school_group,False,False,business,17,18,4,32,99,10,0,15,True,False,False,False,0,0,0,2,ecommerce_delivery,False,0,0,7,0,2,0,False,none,19,14,4,13,13,5,7,0.83,mute,promotion,synthetic
18,none,False,195,19,37,True,False,False,False,False,False,True,False,False,False,False,0,business,True,12,False,member,17,14,7,9,236,3,936,sports,False,False,business,67,18,3,25,103,14,1,14,True,False,False,False,0,0,0,8,none,False,0,0,2,0,2,none,False,none,11,1,3,8,8,5,0,0.78,digest,personal,synthetic
19,none,False,160,11,54,False,False,False,False,False,False,True,False,False,False,False,0,business,True,6,True,member,3,4,0,9,173,1,731,none,False,False,group,75,19,3,22,37,4,3,42,True,False,False,False,0,0,0,7,healthcare,False,0,0,3,0,0,none,False,none,4,5,6,1,1,5,-8,0.77,digest,personal,synthetic
20,none,True,191,21,42,False,False,False,False,False,False,False,False,False,False,False,0,group,True,8,False,member,2,2,0,7,1,2,13,none,False,False,business,66,18,3,41,26,6,2,57,True,False,False,False,1,1,54,52,none,False,0,0,7,0,1,none,False,upcoming_clinic_appointment,12,2,7,17,17,5,6,0.79,digest,personal,synthetic
21,none,False,86,14,13,True,True,False,False,False,False,False,False,False,False,True,0,group,True,0,True,none,2,0,0,9,94,0,496,family,False,False,personal,38,29,4,38,81,7,0,45,True,False,False,False,0,0,0,30,none,False,0,0,2,0,1,none,False,none,0,0,8,7,7,3,2,0.75,notify,event,synthetic
22,none,False,212,19,37,False,False,False,False,False,True,False,False,False,False,True,0,personal,False,3,False,none,4,2,3,3,0,0,1,family,False,True,group,74,18,4,45,64,6,0,70,True,False,False,False,0,0,0,15,ecommerce_delivery,False,0,0,3,0,1,none,False,none,1,0,8,6,6,5,-10,0.81,notify,personal,synthetic
23,voice,True,202,12,32,True,False,False,False,False,True,True,False,False,True,False,0,group,False,17,True,none,3,1,1,9,115,1,564,none,False,False,personal,34,26,4,41,43,5,2,58,True,False,False,False,0,0,0,7,none,False,0,0,4,0,1,none,False,none,4,2,2,17,17,5,-3,0.82,digest,promotion,synthetic
24,none,False,230,12,50,True,False,False,False,True,False,False,True,False,True,False,0,group,False,15,False,none,1,1,0,4,27,1,197,none,False,False,group,55,11,1,47,47,8,0,41,True,False,False,True,0,0,1,36,none,False,2,2,7,0,1,0,False,none,4,1,6,19,19,5,2,0.83,digest,personal,synthetic
25,image,True,153,15,54,True,False,False,False,False,False,False,False,False,False,True,0,business,True,13,False,admin,11,16,3,9,238,3,944,marketplace,False,False,business,57,18,0,20,90,22,2,21,True,False,False,False,0,0,2,33,none,False,0,0,6,0,2,none,False,none,8,9,4,7,7,5,-7,0.75,mute,promotion,synthetic
26,none,False,146,18,16,False,False,False,False,False,True,True,False,False,False,False,0,group,False,11,False,admin,11,16,7,8,92,3,448,real_estate,False,True,group,95,26,3,36,81,22,3,31,True,False,False,False,0,0,0,1,none,False,0,0,6,0,2,none,False,none,17,11,8,8,8,5,-6,0.89,digest,personal,synthetic
27,image,False,106,21,22,False,False,False,False,False,False,True,False,False,False,False,0,group,False,1,False,none,7,6,1,8,1,1,23,society,False,True,group,74,28,4,29,44,8,3,69,True,False,True,False,0,0,0,14,none,False,0,0,6,0,1,none,False,none,5,3,5,0,0,3,-4,0.79,mute,forward,synthetic
28,none,False,199,8,54,False,False,False,False,False,False,True,False,False,False,False,0,group,False,17,True,admin,9,1,8,0,18,1,136,marketplace,True,True,group,56,19,2,17,32,13,2,40,True,False,False,True,0,0,1,34,none,False,1,1,7,0,2,0,False,none,21,19,9,15,15,5,3,0.77,notify,event,synthetic
29,none,False,203,16,41,False,False,False,False,False,True,False,False,False,True,False,0,group,False,4,False,none,1,0,0,3,2,0,33,none,False,False,business,39,3,0,4,79,15,3,29,True,False,True,True,1191,928,2215,53,travel,True,0,0,7,0,1,none,False,none,3,1,7,9,9,5,-20,0.94,mute,scam,synthetic
30,voice,False,7,19,5,False,False,True,False,False,False,False,False,False,False,False,1,business,False,0,False,none,1,0,0,0,0,0,0,none,False,False,business,10,25,0,1,21,3,3,81,True,False,True,False,4450,3483,5301,54,healthcare,True,5,5,7,5,2,none,False,recent_grocery_delivery,0,0,1,0,0,0,2,0.75,digest,personal,synthetic
31,image,True,159,11,24,False,True,False,False,False,True,False,False,False,False,False,0,group,False,9,False,none,13,10,8,1,190,2,807,college_students,False,True,personal,83,24,1,35,76,16,1,16,True,False,False,True,0,0,0,0,none,False,2,2,8,0,2,none,False,travel_promotions_opted_out,10,8,5,4,4,5,5,0.93,digest,personal,synthetic
32,none,False,185,8,24,False,False,False,False,True,False,True,False,False,False,False,0,business,True,4,False,member,6,8,1,7,141,1,643,none,False,True,group,22,16,4,17,40,4,3,62,True,False,True,False,0,0,17,44,none,False,0,0,6,0,2,none,False,none,0,0,4,3,3,5,5,0.79,digest,personal,synthetic
33,none,True,201,10,49,True,False,True,False,True,False,False,True,False,False,False,1,business,True,0,False,member,11,12,2,0,5,1,61,dance_class,False,False,group,73,28,2,41,62,20,2,54,True,False,False,False,0,0,0,17,none,False,0,0,5,0,1,none,False,delivery_expected_today,1,3,1,3,3,5,12,0.76,digest,personal,synthetic
